Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Forest area (% of land area),AG.LND.FRST.ZS,Finland,FIN,73.7356454213418,73.7356454213418,73.7332192682285,73.7332192682285,73.7307932747672
Forest area (% of land area),AG.LND.FRST.ZS,France,FRA,30.7474838236019,30.8997967334908,31.0521096433796,31.2044225532684,31.3567354631573
Forest area (% of land area),AG.LND.FRST.ZS,French Polynesia,PYF,43.0596369922213,43.0596369922213,43.0596369922213,43.0596369922213,43.0596369922213
Forest area (% of land area),AG.LND.FRST.ZS,Gabon,GAB,91.5512089106221,91.5051034268638,91.4589979431055,91.4128924593472,91.3667869755889
"Forest area (% of land area),AG.LND.FRST.ZS,""Gambia, The"",GMB,26.8122529644269,26.2450592885375,25.6788537549407,25.1126482213439,24.5454545454545"
Forest area (% of land area),AG.LND.FRST.ZS,Georgia,GEO,40.6159159591308,40.6159159591308,40.6159159591308,40.6159159591308,40.6159159591308
Forest area (% of land area),AG.LND.FRST.ZS,Germany,DEU,32.7323281545606,32.685482024273,32.6845464693591,32.6836109680005,32.6826755201923
Forest area (% of land area),AG.LND.FRST.ZS,Ghana,GHA,34.6332073481586,34.8169113122967,35.0006152764349,35.0323459611497,35.0640766458645
Forest area (% of land area),AG.LND.FRST.ZS,Gibraltar,GIB,0,0,0,0,0
Forest area (% of land area),AG.LND.FRST.ZS,Greece,GRC,30.27,30.2699767261443,30.2699767261443,30.2699767261443,30.2699767261443
Forest area (% of land area),AG.LND.FRST.ZS,Greenland,GRL,0.000535997076379583,0.000535997076379583,0.000535997076379583,0.000535997076379583,0.000535997076379583
Forest area (% of land area),AG.LND.FRST.ZS,Grenada,GRD,52.0588235294118,52.0588235294118,52.0588235294118,52.0588235294118,52.0588235294118
Forest area (% of land area),AG.LND.FRST.ZS,Guam,GUM,46.2962962962963,51.8518518518518,51.8518518518518,51.8518518518518,51.8518518518518
Forest area (% of land area),AG.LND.FRST.ZS,Guatemala,GTM,33.4621127286301,33.3538633818589,33.2456140350877,33.1373646883165,33.0291153415453
Forest area (% of land area),AG.LND.FRST.ZS,Guinea,GIN,26.0011395083835,25.8383525964512,25.675565684519,25.5127787725867,25.3499918606544
Forest area (% of land area),AG.LND.FRST.ZS,Guinea-Bissau,GNB,71.9135846372688,71.6134423897582,71.3133001422475,71.0131578947368,70.7130156472262
Forest area (% of land area),AG.LND.FRST.ZS,Guyana,GUY,93.7838963677927,93.7371602743206,93.6903733807468,93.6436372872746,93.5968503937008
Forest area (% of land area),AG.LND.FRST.ZS,Haiti,HTI,13.1658200290276,13.0529753265602,12.9401306240929,12.8272859216255,12.7144412191582
Forest area (% of land area),AG.LND.FRST.ZS,Honduras,HND,57.7695057645902,57.5837876485834,57.3966395567075,57.2094020913397,57.0221646259719
"Forest area (% of land area),AG.LND.FRST.ZS,""Hong Kong SAR, China"",HKG,..,..,..,..,.."
Forest area (% of land area),AG.LND.FRST.ZS,Hungary,HUN,22.5818540433925,22.5589524435678,22.5429541968004,22.5281612973921,22.5122726276572
Forest area (% of land area),AG.LND.FRST.ZS,Iceland,ISL,0.480399002493766,0.485386533665835,0.492568578553616,0.496280868789051,0.502727362888029
Forest area (% of land area),AG.LND.FRST.ZS,India,IND,23.8222246139668,23.9118253458407,24.0014260777145,24.0910268095884,24.1806275414622
Forest area (% of land area),AG.LND.FRST.ZS,Indonesia,IDN,50.6135490506354,50.7434545269582,50.0393338229866,49.7168177792076,49.3942964092507
"Forest area (% of land area),AG.LND.FRST.ZS,""Iran, Islamic Rep."",IRN,6.56449077826076,6.57069181463199,6.60128813559322,6.61142064714946,6.6215531587057"
Forest area (% of land area),AG.LND.FRST.ZS,Iraq,IRQ,1.90036118379833,1.90036118379833,1.90036118379833,1.90036118379833,1.90036118379833
Forest area (% of land area),AG.LND.FRST.ZS,Ireland,IRL,10.9547104078966,11.0661924807664,11.1775293946872,11.2355929743069,11.2936565539265
Forest area (% of land area),AG.LND.FRST.ZS,Isle of Man,IMN,6.07017543859649,6.07017543859649,6.07017543859649,6.07017543859649,6.07017543859649
Forest area (% of land area),AG.LND.FRST.ZS,Israel,ISR,7.62476894639556,6.46950092421442,6.46950092421442,6.46950092421442,6.46950092421442
Forest area (% of land area),AG.LND.FRST.ZS,Italy,ITA,31.4390060801169,31.6209699781549,31.8029338761929,31.9848977742309,32.1669704480973
Forest area (% of land area),AG.LND.FRST.ZS,Jamaica,JAM,53.320406278855,53.6786703601108,54.0378578024007,54.3970452446907,54.7553093259464
Forest area (% of land area),AG.LND.FRST.ZS,Japan,JPN,68.4334705075446,68.4224965706447,68.4087791495199,68.4087791495199,68.4087791495199
Forest area (% of land area),AG.LND.FRST.ZS,Jordan,JOR,1.09822031989187,1.09822031989187,1.09822031989187,1.09822031989187,1.09804716534901
Forest area (% of land area),AG.LND.FRST.ZS,Kazakhstan,KAZ,1.22549031373856,1.23632625847316,1.24716079564396,1.25799207319332,1.26882246175501
Forest area (% of land area),AG.LND.FRST.ZS,Kenya,KEN,6.18900446287381,6.24094247461082,6.29288048634782,6.34481849808483,6.34481849808483
Forest area (% of land area),AG.LND.FRST.ZS,Kiribati,KIR,1.45679012345679,1.45679012345679,1.45679012345679,1.45679012345679,1.45679012345679
"Forest area (% of land area),AG.LND.FRST.ZS,""Korea, Dem. People's Rep."",PRK,50.96121584586,50.784901586247,50.608587326634,50.432273067021,50.255958807408"
"Forest area (% of land area),AG.LND.FRST.ZS,""Korea, Rep."",KOR,65.0315562625071,64.8791145667716,64.783099169316,64.6739130434783,64.5184426229508"
